Date, Open, High, Low, Close
11/15/24, 43587.93, 43647.53, 43350.43, 43444.99
11/14/24, 44032.38, 44080.78, 43704.82, 43750.86
11/13/24, 43880.46, 44141.33, 43829.98, 43958.19
11/12/24, 44359.21, 44405.73, 43887.27, 43910.98
11/11/24, 44057.65, 44486.70, 44057.65, 44293.13
11/08/24, 43768.53, 44157.29, 43733.86, 43988.99
11/07/24, 43718.92, 43823.10, 43641.92, 43729.34
11/06/24, 42850.40, 43778.78, 42850.40, 43729.93
11/05/24, 41835.49, 42258.84, 41766.96, 42221.88
11/04/24, 42004.66, 42035.87, 41647.30, 41794.60
11/01/24, 41869.82, 42326.31, 41869.82, 42052.19
10/31/24, 41956.34, 41991.91, 41704.63, 41763.46
10/30/24, 42249.81, 42457.92, 42141.54, 42141.54
10/29/24, 42323.48, 42491.86, 42171.65, 42233.05
10/28/24, 42264.54, 42476.46, 42264.54, 42387.57
10/25/24, 42477.51, 42594.64, 42051.39, 42114.40
10/24/24, 42522.55, 42522.55, 42191.83, 42374.36
10/23/24, 42834.40, 42834.40, 42293.17, 42514.95
10/22/24, 42876.84, 43041.05, 42718.26, 42924.89
10/21/24, 43222.21, 43310.87, 42877.57, 42931.60
10/18/24, 43187.12, 43325.09, 43036.35, 43275.91
10/17/24, 43119.81, 43289.76, 43119.81, 43239.05
10/16/24, 42706.49, 43100.84, 42692.37, 43077.70
10/15/24, 43240.17, 43277.78, 42703.17, 42740.42
10/14/24, 42800.89, 43139.00, 42707.14, 43065.22
10/11/24, 42507.53, 42899.75, 42507.53, 42863.86
10/10/24, 42511.37, 42511.37, 42308.04, 42454.12
10/09/24, 42070.32, 42562.01, 41993.35, 42512.00
10/08/24, 42022.65, 42128.56, 41874.72, 42080.37
10/07/24, 42289.51, 42293.64, 41831.74, 41954.24
10/04/24, 42248.26, 42361.38, 41972.11, 42352.75
10/03/24, 42099.53, 42125.84, 41847.81, 42011.59
10/02/24, 42125.14, 42259.52, 41968.79, 42196.52
10/01/24, 42262.97, 42322.36, 41945.63, 42156.97
09/30/24, 42289.75, 42347.66, 41929.07, 42330.15
09/27/24, 42227.95, 42628.32, 42227.95, 42313.00
09/26/24, 42113.42, 42224.15, 42036.28, 42175.11
09/25/24, 42236.09, 42299.64, 41859.73, 41914.75
09/24/24, 42234.99, 42281.06, 42056.82, 42208.22
09/23/24, 42060.40, 42190.05, 42012.22, 42124.65
09/20/24, 41959.43, 42138.41, 41865.95, 42063.36
09/19/24, 41972.56, 42160.91, 41832.09, 42025.19
09/18/24, 41628.91, 41981.97, 41449.00, 41503.10
09/17/24, 41723.78, 41835.28, 41470.69, 41606.18
09/16/24, 41435.17, 41733.97, 41435.17, 41622.08
09/13/24, 41153.70, 41533.84, 41128.70, 41393.78
09/12/24, 40862.11, 41107.35, 40665.53, 41096.77
09/11/24, 40638.76, 40903.68, 39993.07, 40861.71
09/10/24, 40916.50, 40916.50, 40417.48, 40736.96
09/09/24, 40555.11, 41000.24, 40518.06, 40829.59
09/06/24, 40756.81, 41009.39, 40297.33, 40345.41
09/05/24, 41056.33, 41084.78, 40519.08, 40755.75
09/04/24, 40872.06, 41172.59, 40840.89, 40974.97
09/03/24, 41489.67, 41489.67, 40778.09, 40936.93
08/30/24, 41366.16, 41585.21, 41145.85, 41563.08
08/29/24, 41345.50, 41577.97, 41086.81, 41335.05
08/28/24, 41250.17, 41351.11, 40842.29, 41091.42
08/27/24, 41186.28, 41271.75, 41109.42, 41250.50
08/26/24, 41200.84, 41420.05, 41140.23, 41240.52
08/23/24, 40879.12, 41207.92, 40842.96, 41175.08
08/22/24, 40932.23, 41026.64, 40584.47, 40712.78
08/21/24, 40881.03, 40974.40, 40738.43, 40890.49
08/20/24, 40874.52, 40909.38, 40756.65, 40834.97
08/19/24, 40670.83, 40907.32, 40670.83, 40896.53
